Time [s],Frequency [Hz*4],servo_1 [%],servo_2 [%],servo_3 [%],servo_4 [%],servo_5 [%],power [%],governor_output [%]
0,199.63,61.98,61.96,61.97,61.97,61.98,85.25,3.25
0.02,199.63,61.97,61.96,61.97,61.96,61.98,85.3,3.25
0.04,199.64,61.96,61.96,61.97,61.97,61.97,85.36,3.24
0.06,199.63,61.95,61.97,61.97,61.96,61.97,85.42,3.25
0.08,199.63,61.96,61.96,61.97,61.97,61.97,85.47,3.25
0.1,199.63,61.96,61.97,61.97,61.97,61.98,85.53,3.25
0.12,199.63,61.96,61.97,61.97,61.97,61.98,85.53,3.25
0.14,199.63,61.96,61.96,61.97,61.96,61.97,85.58,3.25
0.16,199.63,61.96,61.96,61.96,61.96,61.98,85.64,3.25
0.18,199.63,61.96,61.95,61.97,61.97,61.97,85.75,3.25
0.2,199.63,61.96,61.96,61.96,61.97,61.97,85.75,3.25
0.22,199.63,61.96,61.96,61.96,61.97,61.98,85.75,3.25
0.24,199.62,61.97,61.95,61.97,61.97,61.98,85.8,3.26
0.26,199.62,61.97,61.95,61.96,61.96,61.98,85.75,3.26
0.28,199.62,61.97,61.96,61.96,61.96,61.98,85.75,3.26
0.3,199.62,61.97,61.96,61.95,61.97,61.97,85.75,3.26
0.32,199.62,61.97,61.96,61.96,61.97,61.98,85.69,3.26
0.34,199.62,61.97,61.96,61.96,61.97,61.98,85.64,3.26
0.36,199.62,61.97,61.96,61.97,61.96,61.98,85.64,3.26
0.38,199.62,61.98,61.96,61.97,61.96,61.98,85.64,3.26
0.4,199.62,61.97,61.96,61.97,61.96,61.98,85.53,3.26
0.42,199.62,61.97,61.96,61.97,61.97,61.98,85.53,3.26
0.44,199.62,61.96,61.96,61.97,61.96,61.97,85.47,3.26
0.46,199.62,61.96,61.95,61.97,61.97,61.97,85.42,3.26
0.48,199.62,61.96,61.95,61.97,61.96,61.97,85.36,3.26
0.5,199.62,61.97,61.95,61.97,61.96,61.97,85.3,3.26
0.52,199.63,61.97,61.95,61.97,61.97,61.97,85.3,3.25
0.54,199.63,61.96,61.96,61.97,61.96,61.97,85.3,3.25
0.56,199.63,61.96,61.95,61.96,61.97,61.96,85.3,3.25
0.58,199.63,61.96,61.95,61.96,61.96,61.97,85.25,3.25
0.6,199.64,61.96,61.96,61.96,61.96,61.97,85.25,3.24
0.62,199.64,61.96,61.96,61.97,61.96,61.97,85.25,3.24
0.64,199.64,61.97,61.96,61.97,61.96,61.97,85.3,3.24
0.66,199.64,61.97,61.96,61.98,61.96,61.97,85.36,3.24
0.68,199.64,61.96,61.96,61.97,61.96,61.97,85.42,3.24
0.7,199.64,61.96,61.96,61.97,61.97,61.96,85.42,3.24
0.72,199.64,61.96,61.95,61.96,61.97,61.97,85.47,3.23
0.74,199.64,61.97,61.95,61.97,61.97,61.97,85.53,3.23
0.76,199.64,61.97,61.95,61.97,61.97,61.97,85.53,3.23
0.78,199.64,61.98,61.95,61.96,61.97,61.98,85.58,3.23
0.8,199.64,61.97,61.96,61.97,61.97,61.97,85.64,3.23
0.82,199.64,61.97,61.95,61.96,61.96,61.96,85.64,3.23
0.84,199.64,61.97,61.95,61.97,61.96,61.96,85.69,3.23
0.86,199.63,61.98,61.95,61.96,61.97,61.96,85.69,3.24
0.88,199.63,61.98,61.95,61.96,61.97,61.96,85.8,3.24
0.9,199.63,61.97,61.96,61.97,61.97,61.96,85.8,3.24
0.92,199.63,61.97,61.96,61.97,61.97,61.97,85.8,3.24
0.94,199.63,61.97,61.96,61.96,61.97,61.97,85.86,3.24
0.96,199.63,61.97,61.97,61.96,61.97,61.96,85.8,3.24
0.98,199.63,61.97,61.96,61.96,61.97,61.97,85.86,3.24
1,199.62,61.98,61.97,61.97,61.97,61.98,85.86,3.25
1.02,199.62,61.98,61.97,61.97,61.97,61.98,85.86,3.25
1.04,199.62,61.98,61.96,61.97,61.97,61.97,85.86,3.25
1.06,199.62,61.97,61.97,61.97,61.96,61.97,85.86,3.25
1.08,199.62,61.97,61.96,61.97,61.97,61.97,85.8,3.25
1.1,199.62,61.97,61.97,61.98,61.96,61.97,85.8,3.25
1.12,199.62,61.97,61.95,61.97,61.96,61.97,85.75,3.25
1.14,199.61,61.96,61.95,61.97,61.97,61.96,85.75,3.26
1.16,199.61,61.96,61.96,61.96,61.97,61.96,85.75,3.26
1.18,199.61,61.96,61.96,61.96,61.97,61.97,85.64,3.26
1.2,199.61,61.97,61.96,61.97,61.97,61.97,85.69,3.26
1.22,199.61,61.96,61.96,61.97,61.97,61.97,85.64,3.26
1.24,199.61,61.96,61.96,61.96,61.97,61.97,85.64,3.26
1.26,199.61,61.96,61.96,61.96,61.98,61.98,85.58,3.26
1.28,199.61,61.96,61.96,61.96,61.98,61.98,85.58,3.26
1.3,199.61,61.96,61.97,61.96,61.98,61.97,85.58,3.26
1.32,199.61,61.96,61.96,61.97,61.97,61.97,85.58,3.26
1.34,199.61,61.96,61.96,61.97,61.97,61.97,85.58,3.26
1.36,199.61,61.96,61.96,61.97,61.97,61.97,85.58,3.26
1.38,199.61,61.95,61.97,61.96,61.98,61.96,85.58,3.26
1.4,199.61,61.95,61.98,61.96,61.97,61.97,85.58,3.26
1.42,199.62,61.95,61.98,61.96,61.98,61.97,85.58,3.25
1.44,199.62,61.96,61.98,61.96,61.97,61.97,85.64,3.25
1.46,199.62,61.96,61.99,61.96,61.97,61.97,85.69,3.25
1.48,199.61,61.96,61.99,61.97,61.97,61.97,85.64,3.26
1.5,199.61,61.96,61.99,61.96,61.97,61.97,85.75,3.26
1.52,199.61,61.96,61.98,61.96,61.97,61.97,85.69,3.26
1.54,199.61,61.97,61.98,61.96,61.97,61.98,85.64,3.26
1.56,199.61,61.96,61.98,61.97,61.97,61.98,85.69,3.26
1.58,199.61,61.97,61.97,61.96,61.97,61.98,85.69,3.26
1.6,199.61,61.97,61.98,61.97,61.98,61.98,85.64,3.26
1.62,199.61,61.97,61.98,61.97,61.97,61.98,85.58,3.26
1.64,199.61,61.97,61.98,61.97,61.97,61.97,85.64,3.26
