Time [s],Frequency [Hz*4],servo_1 [%],servo_2 [%],servo_3 [%],servo_4 [%],servo_5 [%],power [%],governor_output [%]
0,200.23,58.74,58.75,58.75,58.77,58.73,82.97,0
0.02,200.22,58.73,58.75,58.76,58.78,58.72,82.91,0
0.04,200.22,58.73,58.75,58.76,58.78,58.73,82.91,0
0.06,200.22,58.74,58.74,58.75,58.79,58.73,82.97,0
0.079,200.22,58.74,58.74,58.75,58.79,58.73,83.02,0
0.099,200.22,58.74,58.73,58.75,58.78,58.73,82.97,0
0.119,200.21,58.74,58.73,58.75,58.78,58.73,83.02,0
0.139,200.21,58.74,58.73,58.76,58.8,58.72,82.97,0
0.159,200.21,58.74,58.74,58.75,58.79,58.73,83.02,0
0.179,200.21,58.75,58.74,58.76,58.8,58.74,83.02,0
0.199,200.21,58.75,58.75,58.75,58.8,58.74,83.08,0
0.219,200.21,58.75,58.75,58.75,58.79,58.73,83.02,0
0.239,200.21,58.75,58.75,58.75,58.79,58.73,82.97,0
0.259,200.21,58.75,58.75,58.75,58.79,58.74,83.02,0
0.28,200.21,58.75,58.75,58.75,58.78,58.74,82.97,0
0.299,200.21,58.75,58.75,58.75,58.78,58.73,82.97,0
0.319,200.21,58.75,58.75,58.74,58.78,58.73,82.97,0
0.339,200.21,58.74,58.75,58.75,58.8,58.73,82.91,0
0.359,200.21,58.74,58.75,58.75,58.79,58.72,82.86,0
0.379,200.21,58.74,58.75,58.75,58.79,58.73,82.86,0
0.399,200.21,58.74,58.75,58.75,58.79,58.73,82.8,0
0.419,200.21,58.74,58.74,58.75,58.8,58.72,82.74,0
0.439,200.21,58.75,58.74,58.75,58.79,58.73,82.74,0
0.459,200.21,58.75,58.74,58.74,58.78,58.73,82.74,0
0.479,200.21,58.74,58.74,58.75,58.78,58.73,82.74,0
0.499,200.21,58.74,58.74,58.75,58.79,58.73,82.74,0
0.519,200.21,58.73,58.74,58.76,58.78,58.72,82.69,0
0.539,200.21,58.73,58.74,58.75,58.78,58.72,82.74,0
0.559,200.21,58.74,58.75,58.75,58.78,58.72,82.69,0
0.579,200.21,58.74,58.75,58.76,58.78,58.73,82.69,0
0.599,200.21,58.75,58.74,58.74,58.78,58.73,82.69,0
0.619,200.21,58.75,58.75,58.74,58.78,58.73,82.69,0
0.639,200.21,58.75,58.74,58.74,58.79,58.73,82.74,0
0.659,200.21,58.75,58.74,58.74,58.78,58.73,82.74,0
0.679,200.21,58.74,58.75,58.75,58.78,58.73,82.8,0
0.699,200.21,58.74,58.74,58.75,58.78,58.73,82.74,0
0.719,200.21,58.74,58.75,58.75,58.78,58.73,82.74,0
0.739,200.21,58.74,58.74,58.75,58.78,58.73,82.8,0
0.759,200.21,58.73,58.74,58.75,58.78,58.73,82.86,0
0.78,200.21,58.74,58.74,58.76,58.79,58.73,82.8,0
0.799,200.21,58.73,58.74,58.75,58.78,58.73,82.86,0
0.82,200.21,58.73,58.74,58.75,58.78,58.73,82.86,0
0.839,200.21,58.74,58.75,58.75,58.78,58.73,82.86,0
0.859,200.21,58.74,58.75,58.75,58.78,58.73,82.86,0
0.879,200.21,58.74,58.75,58.75,58.78,58.73,82.86,0
0.899,200.21,58.73,58.75,58.75,58.78,58.73,82.91,0
0.919,200.21,58.74,58.74,58.76,58.79,58.73,82.86,0
0.939,200.21,58.73,58.75,58.76,58.78,58.73,82.86,0
0.959,200.21,58.73,58.74,58.77,58.79,58.73,82.86,0
0.979,200.21,58.73,58.74,58.76,58.79,58.73,82.91,0
0.999,200.21,58.73,58.73,58.75,58.79,58.73,82.91,0
1.019,200.21,58.73,58.73,58.75,58.79,58.73,82.86,0
1.039,200.21,58.74,58.73,58.75,58.78,58.73,82.86,0
1.059,200.21,58.74,58.74,58.75,58.79,58.73,82.86,0
1.079,200.21,58.74,58.73,58.75,58.79,58.73,82.86,0
1.099,200.2,58.74,58.73,58.75,58.79,58.73,82.8,0
1.119,200.21,58.74,58.74,58.75,58.79,58.72,82.8,0
1.14,200.21,58.73,58.74,58.75,58.78,58.72,82.86,0
1.16,200.21,58.73,58.73,58.74,58.78,58.72,82.8,0
1.18,200.2,58.73,58.73,58.75,58.78,58.73,82.8,0
1.2,200.21,58.73,58.74,58.75,58.78,58.73,82.74,0
1.22,200.21,58.74,58.74,58.74,58.78,58.73,82.69,0
1.24,200.21,58.74,58.74,58.74,58.78,58.73,82.69,0
1.26,200.21,58.74,58.74,58.74,58.78,58.73,82.69,0
1.28,200.21,58.74,58.73,58.74,58.78,58.73,82.63,0
1.3,200.21,58.74,58.74,58.75,58.77,58.72,82.69,0
1.32,200.21,58.74,58.74,58.75,58.77,58.73,82.63,0
